name,rating
SUB001_SPEECH001,4
SUB002_SPEECH001,4
SUB003_SPEECH001,3
SUB005_SPEECH001,3
SUB005_SPEECH002,3
SUB006_SPEECH001,5
SUB006_SPEECH002,4
SUB007_SPEECH001,4
SUB007_SPEECH002,4
SUB008_SPEECH001,3
SUB013_SPEECH001,5
SUB013_SPEECH002,3
SUB015_SPEECH001,3
SUB015_SPEECH002,4
SUB016_SPEECH001,3
SUB016_SPEECH002,3
SUB017_SPEECH002,3
SUB018_SPEECH001,3
SUB018_SPEECH002,4
SUB019_SPEECH002,5
SUB020_SPEECH001,6
SUB020_SPEECH002,6
SUB021_SPEECH001,4
SUB021_SPEECH002,3
SUB022_SPEECH001,3
SUB022_SPEECH002,4
SUB023_SPEECH001,5
SUB023_SPEECH002,4
SUB024_SPEECH001,5
SUB024_SPEECH002,5
SUB025_SPEECH001,5
SUB025_SPEECH002,5
SUB026_SPEECH001,5
SUB026_SPEECH002,5
SUB027_SPEECH001,5
SUB027_SPEECH002,5
SUB028_SPEECH001,5
SUB028_SPEECH002,6
SUB029_SPEECH001,5
SUB029_SPEECH002,4
SUB030_SPEECH001,5
SUB030_SPEECH002,5
SUB031_SPEECH001,4
SUB031_SPEECH002,4
SUB032_SPEECH001,5
SUB032_SPEECH002,4
SUB033_SPEECH001,4
SUB033_SPEECH002,3
SUB034_SPEECH001,6
SUB034_SPEECH002,6
SUB035_SPEECH001,5
SUB035_SPEECH002,5
SUB038_SPEECH001,4
SUB038_SPEECH002,5
SUB039_SPEECH001,4
SUB039_SPEECH002,3
SUB042_SPEECH001,4
SUB042_SPEECH002,5
SUB043_SPEECH001,4
SUB043_SPEECH002,5
SUB044_SPEECH001,6
SUB044_SPEECH002,6
SUB045_SPEECH002,4
SUB046_SPEECH002,4
SUB047_SPEECH001,5
SUB047_SPEECH002,4
SUB048_SPEECH001,5
SUB048_SPEECH002,6
SUB049_SPEECH001,3
SUB049_SPEECH002,4
SUB050_SPEECH001,6
SUB050_SPEECH002,5
SUB051_SPEECH001,5
SUB051_SPEECH002,4
SUB052_SPEECH001,5
SUB052_SPEECH002,3
SUB054_SPEECH001,6
SUB054_SPEECH002,6
SUB055_SPEECH001,6
SUB055_SPEECH002,6
SUB056_SPEECH001,5
SUB056_SPEECH002,7
SUB057_SPEECH001,4
SUB057_SPEECH002,3
SUB058_SPEECH001,6
SUB058_SPEECH002,4
SUB059_SPEECH001,6
SUB059_SPEECH002,6
SUB060_SPEECH001,5
SUB060_SPEECH002,6
SUB061_SPEECH001,4
SUB061_SPEECH002,4
SUB062_SPEECH001,5
SUB062_SPEECH002,4
SUB063_SPEECH001,4
SUB063_SPEECH002,4
SUB064_SPEECH001,6
SUB064_SPEECH002,7
SUB065_SPEECH001,5
SUB065_SPEECH002,6
SUB066_SPEECH001,5
SUB066_SPEECH002,4
SUB067_SPEECH001,4
SUB068_SPEECH001,5
SUB068_SPEECH002,4
SUB069_SPEECH001,4
SUB069_SPEECH002,5
SUB070_SPEECH001,5
SUB070_SPEECH002,4
SUB071_SPEECH001,4
SUB071_SPEECH002,5
SUB072_SPEECH001,5
SUB072_SPEECH002,6
SUB073_SPEECH001,5
SUB074_SPEECH001,4
SUB074_SPEECH002,5
SUB075_SPEECH001,5
SUB075_SPEECH002,6
SUB076_SPEECH001,4
SUB076_SPEECH002,5
SUB077_SPEECH001,6
SUB077_SPEECH002,7
SUB078_SPEECH001,6
SUB078_SPEECH002,6
SUB079_SPEECH001,7
SUB079_SPEECH002,7
SUB080_SPEECH001,4
SUB080_SPEECH002,4
